gene;Sham_C.WNVp_C;Sham_C.Sham_WNV;Sham_C.WNVp_WNV;Sham_C.Sham_JEV;Sham_C.WNVp_JEV;Name;description;attributes
CPIJ000017;0;1;0;0;0;;uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0VZ73];ID=gene:CPIJ000017;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0VZ73];gene_id=CPIJ000017;logic_name=vectorbase_culex
CPIJ000021;0;0;0;0;1;;Salivary protein [Source:UniProtKB/TrEMBL%3BAcc:B0VZ60];ID=gene:CPIJ000021;biotype=protein_coding;description=Salivary protein [Source:UniProtKB/TrEMBL%3BAcc:B0VZ60];gene_id=CPIJ000021;logic_name=vectorbase_culex
CPIJ000025;0;0;0;0;1;;Negative elongation factor E [Source:UniProtKB/TrEMBL%3BAcc:B0VZ65];ID=gene:CPIJ000025;biotype=protein_coding;description=Negative elongation factor E [Source:UniProtKB/TrEMBL%3BAcc:B0VZ65];gene_id=CPIJ000025;logic_name=vectorbase_culex
CPIJ000031;0;1;0;1;1;;Glutathione S-transferase [Source:UniProtKB/TrEMBL%3BAcc:B0VZ90];ID=gene:CPIJ000031;biotype=protein_coding;description=Glutathione S-transferase [Source:UniProtKB/TrEMBL%3BAcc:B0VZ90];gene_id=CPIJ000031;logic_name=vectorbase_culex
CPIJ000038;0;0;0;1;0;;UDP-glucuronosyltransferase 1-3 precursor [Source:VB Community Annotation];ID=gene:CPIJ000038;biotype=protein_coding;description=UDP-glucuronosyltransferase 1-3 precursor [Source:VB Community Annotation];gene_id=CPIJ000038;logic_name=vectorbase_culex
CPIJ000039;0;0;0;0;1;;glucosyl/glucuronosyl transferases [Source:VB Community Annotation];ID=gene:CPIJ000039;biotype=protein_coding;description=glucosyl/glucuronosyl transferases [Source:VB Community Annotation];gene_id=CPIJ000039;logic_name=vectorbase_culex
CPIJ000074;0;0;0;0;1;;uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0VZC1];ID=gene:CPIJ000074;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0VZC1];gene_id=CPIJ000074;logic_name=vectorbase_culex
CPIJ000095;0;0;0;0;1;;Rab 19 [Source:UniProtKB/TrEMBL%3BAcc:B0VZC7];ID=gene:CPIJ000095;biotype=protein_coding;description=Rab 19 [Source:UniProtKB/TrEMBL%3BAcc:B0VZC7];gene_id=CPIJ000095;logic_name=vectorbase_culex
CPIJ000097;0;1;0;1;0;;Use1 [Source:UniProtKB/TrEMBL%3BAcc:B0VZ75];ID=gene:CPIJ000097;biotype=protein_coding;description=Use1 [Source:UniProtKB/TrEMBL%3BAcc:B0VZ75];gene_id=CPIJ000097;logic_name=vectorbase_culex
CPIJ000109;0;0;0;0;1;;elongation of very long chain fatty acids protein 2 [Source:VB Community Annotation];ID=gene:CPIJ000109;biotype=protein_coding;description=elongation of very long chain fatty acids protein 2 [Source:VB Community Annotation];gene_id=CPIJ000109;logic_name=vectorbase_culex
CPIJ000117;0;0;0;0;1;;uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0VYY7];ID=gene:CPIJ000117;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0VYY7];gene_id=CPIJ000117;logic_name=vectorbase_culex
CPIJ000131;0;0;0;1;1;;uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0VYZ9];ID=gene:CPIJ000131;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0VYZ9];gene_id=CPIJ000131;logic_name=vectorbase_culex
CPIJ000135;0;0;0;0;1;;Uncharacterized protein (Fragment) (Fragment) [Source:UniProtKB/TrEMBL%3BAcc:B0VZ04];ID=gene:CPIJ000135;biotype=protein_coding;description=Uncharacterized protein (Fragment) (Fragment) [Source:UniProtKB/TrEMBL%3BAcc:B0VZ04];gene_id=CPIJ000135;logic_name=vectorbase_culex
CPIJ000141;0;0;0;1;0;;Defective proboscis extension [Source:UniProtKB/TrEMBL%3BAcc:B0VZ07];ID=gene:CPIJ000141;biotype=protein_coding;description=Defective proboscis extension [Source:UniProtKB/TrEMBL%3BAcc:B0VZ07];gene_id=CPIJ000141;logic_name=vectorbase_culex
